"","x","y","numb"
"1",-105.625,-74.5625,1
"2",-104.625,-74.8125,1
"3",-104.375,-72.3125,1
"4",-104.375,-72.1875,1
"5",-104.125,-73.1875,1
"6",-104.125,-72.4375,1
"7",-104.125,-72.3125,1
"8",-104.125,-72.1875,2
"9",-104.125,-72.0625,2
"10",-103.875,-74.3125,1
"11",-103.875,-73.9375,1
"12",-103.875,-73.4375,1
"13",-103.875,-73.3125,1
"14",-103.875,-73.0625,1
"15",-103.875,-72.9375,1
"16",-103.875,-72.8125,2
"17",-103.875,-72.6875,1
"18",-103.875,-72.5625,2
"19",-103.875,-72.0625,8
"20",-103.875,-71.9375,1
"21",-103.875,-71.8125,1
"22",-103.625,-74.9375,1
"23",-103.625,-74.5625,1
"24",-103.625,-73.8125,1
"25",-103.625,-73.5625,1
"26",-103.625,-73.4375,2
"27",-103.625,-71.9375,1
"28",-103.625,-71.6875,1
"29",-103.375,-74.8125,1
"30",-103.375,-73.6875,1
"31",-103.375,-72.0625,8
"32",-103.375,-71.9375,1
"33",-103.375,-71.6875,1
"34",-103.125,-72.0625,21
"35",-103.125,-71.9375,2
"36",-103.125,-71.6875,1
"37",-102.875,-72.0625,4
"38",-102.875,-71.9375,2
"39",-102.875,-71.8125,1
"40",-102.625,-72.0625,39
"41",-102.625,-71.9375,8
"42",-102.625,-71.8125,2
"43",-102.375,-72.0625,1
"44",-102.375,-71.9375,7
"45",-102.375,-71.8125,3
"46",-102.375,-71.6875,1
"47",-102.125,-71.9375,6
"48",-102.125,-71.8125,5
"49",-102.125,-71.6875,1
"50",-101.875,-71.9375,2
"51",-101.625,-71.9375,2
"52",-101.625,-71.8125,8
"53",-101.625,-71.6875,1
"54",-101.625,-71.5625,39
"55",-101.375,-71.8125,18
"56",-101.375,-71.6875,36
"57",-101.375,-71.5625,27
"58",-101.125,-71.8125,11
"59",-101.125,-71.6875,40
"60",-101.125,-71.5625,10
"61",-100.875,-71.8125,16
"62",-100.875,-71.6875,24
"63",-100.875,-71.5625,7
"64",-100.625,-71.9375,1
"65",-100.625,-71.8125,6
"66",-100.625,-71.6875,12
"67",-100.625,-71.5625,13
