"","x","y","avg","min","max"
"1",-86.125,-67.4375,47,46,48
"2",-85.875,-67.5625,44.3333333333333,44,45
"3",-85.875,-67.4375,40.3333333333333,40,41
"4",-85.875,-67.3125,44.6666666666667,42,49
"5",-85.875,-67.1875,50,50,50
"6",-85.625,-67.5625,39.5,36,43
"7",-85.625,-67.4375,44.8888888888889,39,48
"8",-85.625,-67.3125,48.8333333333333,44,53
"9",-85.625,-67.1875,48,45,51
"10",-85.375,-67.5625,34.375,30,40
"11",-85.375,-67.4375,43.1428571428571,35,57
"12",-85.375,-67.3125,51.5555555555556,49,54
"13",-85.375,-67.1875,51.5,46,55
"14",-85.125,-67.6875,30.8333333333333,28,34
"15",-85.125,-67.5625,34.25,30,42
"16",-85.125,-67.4375,42.125,35,56
"17",-85.125,-67.3125,54.5555555555556,47,59
"18",-85.125,-67.1875,55.6666666666667,54,57
"19",-84.875,-67.6875,28.6666666666667,27,31
"20",-84.875,-67.4375,50.5,49,52
"21",-84.875,-67.3125,58.4,57,60
"22",-84.875,-67.1875,58,58,58
"23",-84.625,-67.6875,27.9,25,31
"24",-84.625,-67.5625,32,32,32
"25",-84.625,-67.3125,59.3333333333333,59,60
"26",-84.375,-68.6875,60,60,60
"27",-84.375,-68.5625,59,59,59
"28",-84.375,-67.6875,25.6666666666667,24,28
"29",-84.375,-67.5625,29,25,34
"30",-84.375,-67.3125,60,60,60
"31",-84.125,-68.5625,58,58,58
"32",-84.125,-68.4375,57,57,57
"33",-84.125,-68.3125,55,54,56
"34",-84.125,-67.6875,33.5714285714286,22,48
"35",-84.125,-67.5625,33.5,23,49
"36",-84.125,-67.3125,60,60,60
"37",-83.875,-68.3125,52.5,52,53
"38",-83.875,-67.9375,44.5,44,45
"39",-83.875,-67.8125,42.5,42,43
"40",-83.875,-67.6875,42.5,40,45
"41",-83.875,-67.5625,31,21,50
"42",-83.625,-68.3125,50.5,50,51
"43",-83.625,-68.1875,43.1428571428571,39,49
"44",-83.625,-68.0625,40.875,36,46
"45",-83.625,-67.9375,42.6,24,60
"46",-83.625,-67.8125,43.3,22,57
"47",-83.625,-67.6875,42.5,20,55
"48",-83.625,-67.5625,34.1818181818182,19,53
"49",-83.375,-68.3125,45.3333333333333,44,47
"50",-83.375,-68.1875,47.5,46,49
"51",-83.375,-68.0625,46.5,40,60
"52",-83.375,-67.9375,41.8181818181818,14,60
"53",-83.375,-67.8125,34.2413793103448,12,60
"54",-83.375,-67.6875,36.5714285714286,18,55
"55",-83.375,-67.5625,29.7777777777778,18,51
"56",-83.125,-68.1875,46,42,50
"57",-83.125,-68.0625,47.2,25,60
"58",-83.125,-67.9375,41.4285714285714,16,59
"59",-83.125,-67.8125,39.0263157894737,11,56
"60",-83.125,-67.6875,34.9122807017544,10,58
"61",-83.125,-67.5625,24.375,16,45
"62",-82.875,-68.3125,51.5,51,52
"63",-82.875,-68.0625,48.375,26,59
"64",-82.875,-67.9375,39,14,56
"65",-82.875,-67.8125,36.675,11,53
"66",-82.875,-67.6875,34.1521739130435,11,60
"67",-82.875,-67.5625,34.4,9,60
"68",-82.875,-67.4375,50.5,42,59
"69",-82.875,-66.9375,10,10,10
"70",-82.875,-66.8125,18,11,31
"71",-82.875,-66.6875,13,13,13
"72",-82.875,-66.5625,21.2,9,32
"73",-82.875,-66.4375,23,10,33
"74",-82.625,-68.1875,53,53,53
"75",-82.625,-68.0625,55.25,48,60
"76",-82.625,-67.9375,31.5,13,52
"77",-82.625,-67.8125,32.1830985915493,8,56
"78",-82.625,-67.6875,32.3111111111111,7,60
"79",-82.625,-67.5625,31.2352941176471,6,60
"80",-82.625,-67.4375,32.5652173913043,5,60
"81",-82.625,-67.0625,14,14,14
"82",-82.625,-66.9375,8.5,8,9
"83",-82.625,-66.8125,20,7,30
"84",-82.625,-66.6875,17.0833333333333,5,35
"85",-82.625,-66.5625,15.3333333333333,6,36
"86",-82.625,-66.4375,19.1818181818182,10,37
"87",-82.625,-66.3125,24.625,11,38
"88",-82.375,-68.0625,53.5,49,58
"89",-82.375,-67.9375,30.5,15,53
"90",-82.375,-67.8125,25.8269230769231,6,57
"91",-82.375,-67.6875,29.3777777777778,4,60
"92",-82.375,-67.5625,26.6458333333333,3,59
"93",-82.375,-67.4375,28.1454545454545,4,60
"94",-82.375,-67.3125,23.7777777777778,5,56
"95",-82.375,-67.1875,12,9,14
"96",-82.375,-67.0625,11.5,7,18
"97",-82.375,-66.9375,12.5,6,28
"98",-82.375,-66.8125,14.1428571428571,4,34
"99",-82.375,-66.6875,8.33333333333333,4,23
"100",-82.375,-66.5625,10.75,5,20
"101",-82.375,-66.4375,12.9090909090909,7,32
"102",-82.375,-66.3125,20.9285714285714,11,39
"103",-82.125,-68.1875,54,54,54
"104",-82.125,-68.0625,27.25,17,55
"105",-82.125,-67.9375,32.4814814814815,16,60
"106",-82.125,-67.8125,29.4375,5,60
"107",-82.125,-67.6875,26.7333333333333,4,60
"108",-82.125,-67.5625,23.1463414634146,2,60
"109",-82.125,-67.4375,25.9052631578947,2,60
"110",-82.125,-67.3125,31.6136363636364,3,60
"111",-82.125,-67.1875,13.3846153846154,9,18
"112",-82.125,-67.0625,11.7857142857143,6,19
"113",-82.125,-66.9375,10.6,5,21
"114",-82.125,-66.8125,9.66666666666667,3,33
"115",-82.125,-66.6875,19.5555555555556,4,34
"116",-82.125,-66.5625,24.8636363636364,5,38
"117",-82.125,-66.4375,18.8,8,31
"118",-82.125,-66.3125,17.96875,6,40
"119",-82.125,-66.1875,20.4117647058824,9,33
"120",-82.125,-66.0625,21.6,14,33
"121",-81.875,-68.1875,55,55,55
"122",-81.875,-68.0625,33.6,17,57
"123",-81.875,-67.9375,32.1388888888889,9,55
"124",-81.875,-67.8125,25.6625,3,58
"125",-81.875,-67.6875,24.8333333333333,2,56
"126",-81.875,-67.5625,20.4716981132075,1,60
"127",-81.875,-67.4375,23.0947368421053,1,59
"128",-81.875,-67.3125,28.4157303370786,2,59
"129",-81.875,-67.1875,21.96,7,60
"130",-81.875,-67.0625,17.9375,4,48
"131",-81.875,-66.9375,16.0952380952381,5,52
"132",-81.875,-66.8125,23.8095238095238,3,55
"133",-81.875,-66.6875,20.2105263157895,4,56
"134",-81.875,-66.5625,20.36,4,57
"135",-81.875,-66.4375,15.8809523809524,5,40
"136",-81.875,-66.3125,19.275,6,42
"137",-81.875,-66.1875,14.5588235294118,7,30
"138",-81.875,-66.0625,18.6363636363636,8,33
"139",-81.875,-65.9375,24,10,34
"140",-81.875,-65.8125,18,18,18
"141",-81.625,-68.0625,49,19,60
"142",-81.625,-67.9375,26.8333333333333,3,56
"143",-81.625,-67.8125,24.3888888888889,2,57
"144",-81.625,-67.6875,22.551724137931,1,60
"145",-81.625,-67.5625,21.8666666666667,1,60
"146",-81.625,-67.4375,12.1412429378531,0,60
"147",-81.625,-67.3125,16.9333333333333,1,55
"148",-81.625,-67.1875,28.710843373494,3,60
"149",-81.625,-67.0625,23.175,2,51
"150",-81.625,-66.9375,14.5777777777778,2,43
"151",-81.625,-66.8125,21.9795918367347,2,46
"152",-81.625,-66.6875,22.45,3,47
"153",-81.625,-66.5625,20.984375,5,48
"154",-81.625,-66.4375,19.225,6,58
"155",-81.625,-66.3125,20.3428571428571,8,59
"156",-81.625,-66.1875,18.8928571428571,8,43
"157",-81.625,-66.0625,14.88,8,26
"158",-81.625,-65.9375,20.4285714285714,11,34
"159",-81.625,-65.8125,13,13,13
"160",-81.375,-68.0625,56,56,56
"161",-81.375,-67.9375,14.9166666666667,3,52
"162",-81.375,-67.8125,18.2307692307692,2,58
"163",-81.375,-67.6875,21.7368421052632,2,59
"164",-81.375,-67.5625,16.7446808510638,1,60
"165",-81.375,-67.4375,19.2272727272727,1,57
"166",-81.375,-67.3125,9.21,1,45
"167",-81.375,-67.1875,23.3826086956522,2,60
"168",-81.375,-67.0625,19.8837209302326,1,60
"169",-81.375,-66.9375,24.8208955223881,1,60
"170",-81.375,-66.8125,19,2,59
"171",-81.375,-66.6875,21.3559322033898,4,56
"172",-81.375,-66.5625,22.5192307692308,6,60
"173",-81.375,-66.4375,23.448275862069,7,53
"174",-81.375,-66.3125,26.9032258064516,8,60
"175",-81.375,-66.1875,26.6363636363636,9,60
"176",-81.375,-66.0625,17.1034482758621,8,51
"177",-81.375,-65.9375,22.1428571428571,9,60
"178",-81.375,-65.8125,12.5,9,19
