"","x","y","avg","min","max"
"1",-104.625,-71.9375,178.666666666667,178,179
"2",-104.625,-71.8125,175.833333333333,173,180
"3",-104.625,-71.6875,171.5,171,172
"4",-104.375,-71.6875,169.5,169,170
"5",-104.125,-71.8125,167,167,167
"6",-104.125,-71.6875,168,168,168
"7",-103.875,-71.8125,165.5,165,166
"8",-103.875,-71.4375,180,180,180
"9",-103.625,-71.8125,163.5,163,164
"10",-103.625,-71.4375,178,177,179
"11",-103.375,-72.0625,178,177,179
"12",-103.375,-71.9375,178,178,178
"13",-103.375,-71.6875,161.5,161,162
"14",-103.375,-71.4375,176,176,176
"15",-103.125,-72.0625,180,180,180
"16",-103.125,-71.9375,175,174,176
"17",-103.125,-71.8125,170.666666666667,167,173
"18",-103.125,-71.6875,169.5,168,171
"19",-103.125,-71.5625,159.5,159,160
"20",-103.125,-71.4375,174.5,174,175
"21",-102.875,-71.8125,165.5,165,166
"22",-102.875,-71.5625,158,158,158
"23",-102.875,-71.4375,164.5,156,173
"24",-102.625,-71.8125,171.666666666667,163,180
"25",-102.625,-71.4375,157,152,171
"26",-102.375,-71.8125,169.5,161,178
"27",-102.375,-71.6875,147,147,147
"28",-102.375,-71.5625,150,150,150
"29",-102.375,-71.4375,169.8,151,180
"30",-102.125,-71.8125,160.333333333333,145,176
"31",-102.125,-71.6875,164.333333333333,146,174
"32",-102.125,-71.5625,164.142857142857,148,177
"33",-102.125,-71.4375,178,178,178
"34",-102.125,-71.3125,167.5,167,168
"35",-101.875,-71.8125,159.333333333333,144,175
"36",-101.875,-71.6875,172,172,172
"37",-101.875,-71.5625,154.5,154,155
"38",-101.875,-71.4375,156,156,156
"39",-101.875,-71.1875,162.571428571429,159,166
"40",-101.875,-71.0625,162,162,162
"41",-101.625,-71.8125,169.4,143,180
"42",-101.625,-71.6875,152,151,153
"43",-101.625,-71.5625,134.5,134,135
"44",-101.625,-71.4375,157,157,157
"45",-101.625,-71.3125,158,158,158
"46",-101.375,-71.8125,156.666666666667,142,170
"47",-101.375,-71.6875,168.7,150,178
"48",-101.375,-71.5625,133.545454545455,128,139
"49",-101.125,-71.8125,166.333333333333,157,173
"50",-101.125,-71.6875,168.25,149,176
"51",-101.125,-71.5625,158.375,127,179
"52",-101.125,-71.4375,159.181818181818,142,171
"53",-101.125,-71.3125,172,172,172
"54",-100.875,-71.8125,141,141,141
"55",-100.875,-71.6875,168.111111111111,126,180
"56",-100.875,-71.5625,152.555555555556,125,163
"57",-100.875,-71.4375,162.5,145,180
"58",-100.875,-71.3125,174.8,173,176
"59",-100.875,-71.1875,178.5,177,180
"60",-100.625,-71.8125,172,172,172
"61",-100.625,-71.6875,167,140,174
"62",-100.625,-71.5625,133.909090909091,118,161
"63",-100.375,-71.6875,165.041666666667,139,179.333333333333
"64",-100.375,-71.5625,139.5,112,158
"65",-100.375,-71.4375,180,180,180
"66",-100.125,-71.6875,168.708333333333,154,178.333333333333
"67",-100.125,-71.5625,122.875,107,148
"68",-100.125,-71.4375,178,175,180
"69",-100.125,-71.3125,180,180,180
"70",-99.875,-71.9375,169,169,169
"71",-99.875,-71.8125,164.888888888889,161,168
"72",-99.875,-71.6875,168.196078431373,138,179
"73",-99.875,-71.5625,128.4,105,180
"74",-99.875,-71.4375,165.6,104,179
"75",-99.875,-71.3125,175.5,175,176
"76",-99.875,-71.1875,164.333333333333,155,179
"77",-99.625,-71.9375,170,170,170
"78",-99.625,-71.8125,160.995833333333,157,170.979166666667
"79",-99.625,-71.6875,164.466666666667,137,169.333333333333
"80",-99.625,-71.5625,152.821917808219,126,180
"81",-99.625,-71.4375,161.095238095238,103,178
"82",-99.625,-71.3125,163.8,152,175
"83",-99.625,-71.1875,169.705882352941,163,180
"84",-99.625,-71.0625,171.5,161,178
"85",-99.375,-71.8125,153.657407407407,128,179.979166666667
"86",-99.375,-71.6875,159.833333333333,127,176
"87",-99.375,-71.5625,164.878787878788,102,180
"88",-99.375,-71.4375,158.181818181818,125,179
"89",-99.375,-71.3125,168,149,180
"90",-99.375,-71.1875,167,167,167
"91",-99.375,-71.0625,179,179,179
"92",-99.125,-71.8125,176.070322672526,172.979166666667,179.434041341146
"93",-99.125,-71.6875,144.034722530481,126,165.333333333333
"94",-99.125,-71.5625,153.05,101,178
"95",-99.125,-71.4375,152.739130434783,124,180
"96",-99.125,-71.3125,138,116,178
"97",-99.125,-71.1875,161,147,180
"98",-99.125,-71.0625,180,180,180
"99",-98.875,-71.8125,166.659725613064,165.71528116862,167.548614501953
"100",-98.875,-71.6875,148.410881890191,116,176.979166666667
"101",-98.875,-71.5625,151.8,100,177
"102",-98.875,-71.4375,150.475,122,180
"103",-98.875,-71.3125,158.307692307692,114,179
"104",-98.875,-71.1875,165.875,146,180
"105",-98.875,-71.0625,168.5,157,180
"106",-98.625,-71.8125,169.934900919596,168.4375,171.434041341146
"107",-98.625,-71.6875,126.292659214565,111,162.333333333333
"108",-98.625,-71.5625,139.846153846154,98,176
"109",-98.625,-71.4375,148.243902439024,111,178
"110",-98.625,-71.3125,143,113,176
"111",-98.625,-71.1875,168,144,180
"112",-98.625,-71.0625,175,175,175
"113",-98.375,-71.8125,157.524307250977,154.71528116862,160.333333333333
"114",-98.375,-71.6875,122.292659214565,106,161.333333333333
"115",-98.375,-71.5625,139.904791666667,96,179.239583333333
"116",-98.375,-71.4375,143.771428571429,108,174
"117",-98.375,-71.3125,156.3,124,179
"118",-98.375,-71.1875,165.666666666667,143,172
"119",-98.375,-71.0625,142,142,142
"120",-98.125,-71.8125,134.219067197857,120.71528116862,159.333333333333
"121",-98.125,-71.6875,147.567234848485,104,180
"122",-98.125,-71.5625,133.76,93,174
"123",-98.125,-71.4375,152.538461538462,133,172
"124",-98.125,-71.3125,168.375,132,178
"125",-98.125,-71.1875,161.666666666667,141,175
"126",-98.125,-71.0625,140,140,140
"127",-97.875,-71.8125,130.199329694112,97,157.333333333333
"128",-97.875,-71.6875,142.425637139214,102,179.86806233724
"129",-97.875,-71.5625,132.75,92,174
"130",-97.875,-71.4375,157.51724137931,116,176
"131",-97.875,-71.3125,147.179487179487,118,180
"132",-97.875,-71.1875,146.4,124,170
"133",-97.875,-71.0625,162.666666666667,129,176
"134",-97.875,-70.9375,170.4,138,180
"135",-97.625,-71.8125,115.65239461263,96,149.71528116862
"136",-97.625,-71.6875,151.526236074942,102,178.86806233724
"137",-97.625,-71.5625,133.472222222222,90,180
"138",-97.625,-71.4375,138.630434782609,110,175
"139",-97.625,-71.3125,154.666666666667,120,172
"140",-97.625,-71.1875,158.68,150,171
"141",-97.625,-71.0625,159.105263157895,130,174
"142",-97.625,-70.9375,166.222222222222,137,177
"143",-97.625,-70.8125,174,174,174
"144",-97.375,-71.8125,126.080247667101,95,155.333333333333
"145",-97.375,-71.6875,153.246963500977,101,176.86806233724
"146",-97.375,-71.5625,138.296296296296,89,179
"147",-97.375,-71.4375,136.358490566038,94,180
"148",-97.375,-71.3125,144.217391304348,103,180
"149",-97.375,-71.1875,152.639664261429,146,168
"150",-97.375,-71.0625,166.195139567057,155.951395670573,174
"151",-97.375,-70.9375,171.307692307692,159,180
"152",-97.375,-70.8125,176.8,175,180
"153",-97.125,-71.8125,117.478138488016,87,154.333333333333
"154",-97.125,-71.6875,155.401176257011,100,180
"155",-97.125,-71.5625,155.655172413793,88,180
"156",-97.125,-71.4375,146.483870967742,87,180
"157",-97.125,-71.3125,130.425,100,177
"158",-97.125,-71.1875,149.550598144531,115,180
"159",-97.125,-71.0625,163.962831983379,156.951395670573,172
"160",-97.125,-70.9375,166.53661739465,159,178
"161",-97.125,-70.8125,177.5,176,179
"162",-97.125,-70.6875,179,178,180
"163",-96.875,-71.8125,143.857639356591,84,176
"164",-96.875,-71.6875,149.034722222222,96,176
"165",-96.875,-71.5625,148.285714285714,95,179
"166",-96.875,-71.4375,140.7,85,178
"167",-96.875,-71.3125,138.285714285714,97,179
"168",-96.875,-71.1875,124.708485036656,91,180
"169",-96.875,-71.0625,150.033499624215,92,178.892374674479
"170",-96.875,-70.9375,171.299194335938,166,175.951395670573
"171",-96.875,-70.8125,178.300930447049,176.951395670573,180
"172",-96.625,-71.8125,152.770833914621,81,180
"173",-96.625,-71.6875,155.002566572549,82,180
"174",-96.625,-71.5625,147.787878787879,84,180
"175",-96.625,-71.4375,136.863636363636,95,174
"176",-96.625,-71.3125,141.851825329684,88,178
"177",-96.625,-71.1875,125.111622230679,87,179
"178",-96.625,-71.0625,143.475694986979,131,179.892374674479
"179",-96.625,-70.9375,164.764705882353,154,176
"180",-96.625,-70.8125,169.5,159,180
"181",-96.625,-70.6875,179.951395670573,179.951395670573,179.951395670573
"182",-96.375,-71.8125,152.263455708822,99,171
"183",-96.375,-71.6875,159.267628205128,81,180
"184",-96.375,-71.5625,158.88,94,180
"185",-96.375,-71.4375,156.526315789474,94,180
"186",-96.375,-71.3125,145.051448698967,90,180
"187",-96.375,-71.1875,136.828525954026,84,180
"188",-96.375,-71.0625,146.575757575758,82,171
"189",-96.375,-70.9375,151.571428571429,137,169
"190",-96.375,-70.8125,163.875,153,176
"191",-96.375,-70.6875,164.666666666667,163,166
"192",-96.125,-71.8125,150.423958333333,80,167
"193",-96.125,-71.6875,163.682871985057,138,179
"194",-96.125,-71.5625,160.545454545455,93,180
"195",-96.125,-71.4375,152.235294117647,93,179
"196",-96.125,-71.3125,151.271798027886,101,180
"197",-96.125,-71.1875,140.763213828758,81,179
"198",-96.125,-71.0625,141.566438741352,90,178
"199",-96.125,-70.9375,117.027777777778,91,142
"200",-96.125,-70.8125,145.166666666667,97,180
"201",-96.125,-70.6875,168,167,169
"202",-95.875,-72.0625,111.714285714286,107,117
"203",-95.875,-71.9375,111.571428571429,78,161
"204",-95.875,-71.8125,142.281702898551,79,169
"205",-95.875,-71.6875,147.764424641927,80,180
"206",-95.875,-71.5625,154.512195121951,83,180
"207",-95.875,-71.4375,155.038461538462,84,180
"208",-95.875,-71.3125,130.821428571429,79,180
"209",-95.875,-71.1875,142.363078816732,80,180
"210",-95.875,-71.0625,134.507650774077,91,180
"211",-95.875,-70.9375,131.558139534884,100,167
"212",-95.875,-70.8125,131.972222222222,101,173
